4.2605 	DEBUG 	Fullscreen settings ignored as running in pilot mode.
4.2612 	INFO 	Loaded monitor calibration from ['2025_04_02 00:13']
4.4927 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fd719c2b7c0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fd719c2b6d0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=False, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fd719c59190>, multiSample=False, name='window1', numSamples=2, pos=[464.0, 258.5], screen=0, size=array([1600, 1200]), stencilBits=0, stereo=False, title='PsychoPy', units='norm', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.4927 	EXP 	window1: backgroundImage = ''
4.4927 	EXP 	window1: backgroundFit = 'none'
4.5045 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5050 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5057 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5066 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5075 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5084 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5094 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5098 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5100 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5102 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5110 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5118 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5121 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5127 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5133 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5141 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5147 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5153 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5159 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5165 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5174 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5182 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5188 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5196 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5203 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5209 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5218 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5220 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5224 	DEBUG 	Uploading Texture Font fontname to graphics card
4.5266 	DEBUG 	Upload of Texture Font fontname complete
4.5339 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5347 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5350 	DEBUG 	Uploading Texture Font fontname to graphics card
4.5373 	DEBUG 	Upload of Texture Font fontname complete
5.0228 	INFO 	keyboard.Keyboard is using ptb backend.
5.1488 	INFO 	keyboard.Keyboard is using ptb backend.
5.2346 	INFO 	keyboard.Keyboard is using ptb backend.
5.3211 	INFO 	keyboard.Keyboard is using ptb backend.
5.4073 	INFO 	keyboard.Keyboard is using ptb backend.
5.4933 	INFO 	keyboard.Keyboard is using ptb backend.
5.5792 	INFO 	keyboard.Keyboard is using ptb backend.
5.5792 	EXP 	OperationSpanTask: status = STARTED
5.6389 	EXP 	Created nback_inst = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='nback_inst', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='norm', win=Window(...), wrapWidth=1)
