Eligebloque,Tipo,Span,Estimulo,Respuesta,Letra,CorRec,ensayos.thisRepN,ensayos.thisTrialN,ensayos.thisN,ensayos.thisIndex,ensayosejem.thisRepN,ensayosejem.thisTrialN,ensayosejem.thisN,ensayosejem.thisIndex,span2.thisRepN,span2.thisTrialN,span2.thisN,span2.thisIndex,ensayos2.thisRepN,ensayos2.thisTrialN,ensayos2.thisN,ensayos2.thisIndex,span3.thisRepN,span3.thisTrialN,span3.thisN,span3.thisIndex,ensayos3.thisRepN,ensayos3.thisTrialN,ensayos3.thisN,ensayos3.thisIndex,span4.thisRepN,span4.thisTrialN,span4.thisN,span4.thisIndex,ensayos4.thisRepN,ensayos4.thisTrialN,ensayos4.thisN,ensayos4.thisIndex,span5.thisRepN,span5.thisTrialN,span5.thisN,span5.thisIndex,ensayos5.thisRepN,ensayos5.thisTrialN,ensayos5.thisN,ensayos5.thisIndex,span6.thisRepN,span6.thisTrialN,span6.thisN,span6.thisIndex,ensayos6.thisRepN,ensayos6.thisTrialN,ensayos6.thisN,ensayos6.thisIndex,text_4.started,text_4.stopped,text_6.started,text_6.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_5.started,text_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Bloque2.xlsx,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.408404200105,None,"['t', 'n']",1,"[1.3459123000502586, 1.8118974000681192]",106.408404200105,None,space,1.8116407000925392,106.88155029993504,None,,,GH,001,2021_Apr_02_1009,OperationSpanTask,2021.1.2,60.09767075060291,
Bloque3.xlsx,Operation,2,( 3 + 6 ) × 4 = 36,right,P,None,,,,,,,,,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.66993570001796,None,right,1,3.213295499794185,110.66993570001796,None,113.9440357000567,None,,,,,,,,,,,,108.73368679988198,None,GH,001,2021_Apr_02_1009,OperationSpanTask,2021.1.2,60.09767075060291,
Bloque3.xlsx,Operation,2,( 5 - 1 ) × 1 = 6,left,R,"['p', 'r']",,,,,,,,,0,2,2,2,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.23521389998496,None,left,1,2.0754333999939263,115.23521389998496,None,117.3476009001024,None,,,,,,,,,,,,,,GH,001,2021_Apr_02_1009,OperationSpanTask,2021.1.2,60.09767075060291,
Bloque3.xlsx,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.35499439993873,None,"['p', 'r']",1,"[2.1023717999923974, 2.773084199987352]",118.35499439993873,None,space,2.868903699796647,118.83729419996962,None,,,GH,001,2021_Apr_02_1009,OperationSpanTask,2021.1.2,60.09767075060291,
Bloque1.xlsx,Operation,3,( 4 + 2 ) × 2 = 8,left,C,None,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.59765770006925,None,left,1,3.510376200079918,123.59765770006925,None,127.16306350007653,None,,,,,,,,,,,,121.78913909988478,None,GH,001,2021_Apr_02_1009,OperationSpanTask,2021.1.2,60.09767075060291,
Bloque1.xlsx,Operation,3,( 3 - 1 ) × 3 = 5,left,L,None,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.45578150008805,None,left,1,2.3228229999076575,128.45578150008805,None,130.8455409000162,None,,,,,,,,,,,,,,GH,001,2021_Apr_02_1009,OperationSpanTask,2021.1.2,60.09767075060291,
Bloque1.xlsx,Operation,3,( 5 - 1 ) × 5 = 20,right,G,"['c', 'l', 'g']",,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.15679499995895,None,right,1,2.4813149999827147,132.15679499995895,None,134.69264980009757,None,,,,,,,,,,,,,,GH,001,2021_Apr_02_1009,OperationSpanTask,2021.1.2,60.09767075060291,
Bloque1.xlsx,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.6793768000789,None,"['c', 'l', 'g']",1,"[1.0705640998203307, 1.5871743999887258, 2.1812831999268383]",135.6793768000789,None,space,2.270542399957776,136.16777759999968,None,,,GH,001,2021_Apr_02_1009,OperationSpanTask,2021.1.2,60.09767075060291,
Bloque2.xlsx,Operation,3,( 4 - 2 ) × 3 = 9,left,J,None,,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.31603539991193,None,left,1,8.468622699845582,140.31603539991193,None,148.84132459992543,None,,,,,,,,,,,,138.47217869991437,None,GH,001,2021_Apr_02_1009,OperationSpanTask,2021.1.2,60.09767075060291,
Bloque2.xlsx,Operation,3,( 3 + 8 ) × 5 = 53,left,M,None,,,,,,,,,,,,,,,,,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.12911149999127,None,left,1,3.5490846999455243,150.12911149999127,None,153.72973520006053,None,,,,,,,,,,,,,,GH,001,2021_Apr_02_1009,OperationSpanTask,2021.1.2,60.09767075060291,
Bloque2.xlsx,Operation,3,( 4 + 7 ) × 2 = 22,right,B,"['j', 'm', 'b']",,,,,,,,,,,,,,,,,0,1,1,1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.03432379988953,None,right,1,4.372374599799514,155.03432379988953,None,159.43888120003976,None,,,,,,,,,,,,,,GH,001,2021_Apr_02_1009,OperationSpanTask,2021.1.2,60.09767075060291,
Bloque2.xlsx,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.43811800004914,None,"['j', 'm', 'b']",1,"[1.0183337999042124, 1.471422699978575, 1.899793199962005]",160.43811800004914,None,space,1.856556799961254,160.91537750000134,None,,,GH,001,2021_Apr_02_1009,OperationSpanTask,2021.1.2,60.09767075060291,
Bloque3.xlsx,Operation,3,( 3 + 6 ) × 5 = 43,right,Z,None,,,,,,,,,,,,,,,,,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.64273789990693,None,left,0,3.310528599889949,164.64273789990693,None,168.02517480007373,None,,,,,,,,,,,,162.80697120004334,None,GH,001,2021_Apr_02_1009,OperationSpanTask,2021.1.2,60.09767075060291,
Bloque3.xlsx,Operation,3,( 6 - 1 ) × 3 = 19,right,F,None,,,,,,,,,,,,,,,,,0,2,2,2,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.29863990005106,None,left,0,5.597885600058362,169.29863990005106,None,174.92620670003816,None,,,,,,,,,,,,,,GH,001,2021_Apr_02_1009,OperationSpanTask,2021.1.2,60.09767075060291,
Bloque3.xlsx,Operation,3,( 4 + 2 ) × 4 = 23,right,T,"['z', 'f', 't']",,,,,,,,,,,,,,,,,0,2,2,2,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.2466005999595,None,left,0,5.561644200002775,176.2466005999595,None,181.84758320008405,None,,,,,,,,,,,,,,GH,001,2021_Apr_02_1009,OperationSpanTask,2021.1.2,60.09767075060291,
Bloque3.xlsx,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.83437979989685,None,"['z', 'm', 'j']",0,"[2.331533699994907, 3.075198199832812, 3.3667096998542547]",182.83437979989685,None,space,3.927854700013995,183.30982020008378,None,,,GH,001,2021_Apr_02_1009,OperationSpanTask,2021.1.2,60.09767075060291,
Bloque1.xlsx,Operation,4,( 6 + 2 ) × 1 = 8,right,D,None,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,189.13664819998667,None,right,1,8.942084799986333,189.13664819998667,None,198.12320849997923,None,,,,,,,,,,,,187.29067789996043,None,GH,001,2021_Apr_02_1009,OperationSpanTask,2021.1.2,60.09767075060291,
Bloque1.xlsx,Operation,4,( 4 - 3 ) × 5 = 5,left,V,None,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,199.40859110001475,None,right,0,4.713821500074118,199.40859110001475,None,204.1491030000616,None,,,,,,,,,,,,,,GH,001,2021_Apr_02_1009,OperationSpanTask,2021.1.2,60.09767075060291,
Bloque1.xlsx,Operation,4,( 3 - 1 ) × 5 = 10,left,M,None,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,205.44886099989526,None,left,1,3.4288159999996424,205.44886099989526,None,208.92201419989578,None,,,,,,,,,,,,,,GH,001,2021_Apr_02_1009,OperationSpanTask,2021.1.2,60.09767075060291,
Bloque1.xlsx,Operation,4,( 6 - 1 ) × 1 = 6,left,P,"['d', 'v', 'm', 'p']",,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,210.23112399992533,None,left,1,3.3479998998809606,210.23112399992533,None,213.6278701000847,None,,,,,,,,,,,,,,GH,001,2021_Apr_02_1009,OperationSpanTask,2021.1.2,60.09767075060291,
Bloque1.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.63007119996473,None,"['d', 'v', 'm', 'p']",1,"[1.2525328998453915, 1.5789705999195576, 1.9027817000169307, 2.2908852000255138]",214.63007119996473,None,space,2.4599661000538617,215.122908399906,None,,,GH,001,2021_Apr_02_1009,OperationSpanTask,2021.1.2,60.09767075060291,
Bloque2.xlsx,Operation,4,( 3 - 2 ) × 1 = 1,right,G,None,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,219.5028403000906,None,right,1,1.9171649001073092,219.5028403000906,None,221.44702459988184,None,,,,,,,,,,,,217.63711029989645,None,GH,001,2021_Apr_02_1009,OperationSpanTask,2021.1.2,60.09767075060291,
Bloque2.xlsx,Operation,4,( 4 + 9 ) × 2 = 26,right,B,None,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,222.7580226000864,None,right,1,7.419782800134271,222.7580226000864,None,230.20935970009305,None,,,,,,,,,,,,,,GH,001,2021_Apr_02_1009,OperationSpanTask,2021.1.2,60.09767075060291,
Bloque2.xlsx,Operation,4,( 3 + 9 ) × 1 = 12,right,Q,None,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,231.5296491999179,None,right,1,6.544376899953932,231.5296491999179,None,238.14185460004956,None,,,,,,,,,,,,,,GH,001,2021_Apr_02_1009,OperationSpanTask,2021.1.2,60.09767075060291,
Bloque2.xlsx,Operation,4,( 6 + 2 ) × 2 = 16,right,R,"['g', 'b', 'q', 'r']",,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,3,3,3,,,,,,,,,,,,,,,,,,,,,239.44142309995368,None,right,1,5.983873500023037,239.44142309995368,None,245.4476983998902,None,,,,,,,,,,,,,,GH,001,2021_Apr_02_1009,OperationSpanTask,2021.1.2,60.09767075060291,
Bloque2.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.46511169988662,None,"['g', 'b', 'q', 'r']",1,"[1.5621091998182237, 1.8480566998478025, 2.5328045999631286, 2.8428803000133485]",246.46511169988662,None,space,3.3589377999305725,246.95328129990958,None,,,GH,001,2021_Apr_02_1009,OperationSpanTask,2021.1.2,60.09767075060291,
Bloque3.xlsx,Operation,4,( 4 + 8 ) × 1 = 11,right,S,None,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,252.193879700033,None,left,0,20.48781060008332,252.193879700033,None,272.72085199994035,None,,,,,,,,,,,,250.3455183999613,None,GH,001,2021_Apr_02_1009,OperationSpanTask,2021.1.2,60.09767075060291,
Bloque3.xlsx,Operation,4,( 3 - 2 ) × 1 = 4,right,J,None,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,0,1,1,1,,,,,,,,,,,,,,,,,,,,,274.029875600012,None,right,1,2.114573300117627,274.029875600012,None,276.1905662000645,None,,,,,,,,,,,,,,GH,001,2021_Apr_02_1009,OperationSpanTask,2021.1.2,60.09767075060291,
Bloque3.xlsx,Operation,4,( 1 + 4 ) × 2 = 10,right,N,None,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,0,2,2,2,,,,,,,,,,,,,,,,,,,,,277.4973402998876,None,right,1,4.317749300040305,277.4973402998876,None,281.8598829000257,None,,,,,,,,,,,,,,GH,001,2021_Apr_02_1009,OperationSpanTask,2021.1.2,60.09767075060291,
Bloque3.xlsx,Operation,4,( 3 + 7 ) × 1 = 10,left,T,"['s', 'j', 'n', 't']",,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,0,3,3,3,,,,,,,,,,,,,,,,,,,,,283.177146299975,None,right,0,11.962719400180504,283.177146299975,None,295.17605459992774,None,,,,,,,,,,,,,,GH,001,2021_Apr_02_1009,OperationSpanTask,2021.1.2,60.09767075060291,
Bloque3.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.190113699995,None,"['s', 'j', 'm', 't']",0,"[2.046783500118181, 2.2648178001400083, 2.516236500116065, 3.4871718999929726]",296.190113699995,None,space,3.8258714000694454,296.67100189998746,None,,,GH,001,2021_Apr_02_1009,OperationSpanTask,2021.1.2,60.09767075060291,
Bloque1.xlsx,Operation,5,( 5 - 2 ) × 3 = 9,right,L,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,302.407295800047,None,right,1,6.635761500103399,302.407295800047,None,309.07647259999067,None,,,,,,,,,,,,300.565625899937,None,GH,001,2021_Apr_02_1009,OperationSpanTask,2021.1.2,60.09767075060291,
Bloque1.xlsx,Operation,5,( 3 + 2 ) × 1 = 5,right,V,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,310.37178470008075,None,right,1,1.4615645001176745,310.37178470008075,None,311.88266910007223,None,,,,,,,,,,,,,,GH,001,2021_Apr_02_1009,OperationSpanTask,2021.1.2,60.09767075060291,
Bloque1.xlsx,Operation,5,( 3 + 9 ) × 3 = 36,right,X,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,313.1938056999352,None,right,1,7.8524207000155,313.1938056999352,None,321.097715199925,None,,,,,,,,,,,,,,GH,001,2021_Apr_02_1009,OperationSpanTask,2021.1.2,60.09767075060291,
Bloque1.xlsx,Operation,5,( 5 + 3 ) × 1 = 8,right,P,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,322.3847578000277,None,right,1,1.4432127000764012,322.3847578000277,None,323.85133780003525,None,,,,,,,,,,,,,,GH,001,2021_Apr_02_1009,OperationSpanTask,2021.1.2,60.09767075060291,
Bloque1.xlsx,Operation,5,( 3 + 2 ) × 2 = 11,left,C,"['l', 'v', 'x', 'p', 'c']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,325.16566130006686,None,left,1,5.399853599956259,325.16566130006686,None,330.6131698999088,None,,,,,,,,,,,,,,GH,001,2021_Apr_02_1009,OperationSpanTask,2021.1.2,60.09767075060291,
Bloque1.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,331.6125994999893,None,"['l', 'c', 'v', 'x', 'p', 'c']",0,"[1.0846382998861372, 1.5124800999183208, 3.636511899996549, 4.102684099925682, 4.787342399824411, 5.130499299848452]",331.6125994999893,None,space,5.216668399982154,332.09093419997953,None,,,GH,001,2021_Apr_02_1009,OperationSpanTask,2021.1.2,60.09767075060291,
Bloque2.xlsx,Operation,5,( 5 + 3 ) × 2 = 20,left,R,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,339.23888879991136,None,left,1,4.3758757000323385,339.23888879991136,None,343.6691431000363,None,,,,,,,,,,,,337.3699272000231,None,GH,001,2021_Apr_02_1009,OperationSpanTask,2021.1.2,60.09767075060291,
