thisN,thisTrialN,thisRepN,letter,correct,key_resp.keys,key_resp.rt,key_resp.duration,nback_resp.keys,nback_resp.corr,selectblock,Type,Span,Stimulus,Response,Letter,corrResp,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,sound_loop.thisRepN,sound_loop.thisTrialN,sound_loop.thisN,sound_loop.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trialloop.thisRepN,trialloop.thisTrialN,trialloop.thisN,trialloop.thisIndex,span2.thisRepN,span2.thisTrialN,span2.thisN,span2.thisIndex,trialloop2.thisRepN,trialloop2.thisTrialN,trialloop2.thisN,trialloop2.thisIndex,span3.thisRepN,span3.thisTrialN,span3.thisN,span3.thisIndex,trialloop3.thisRepN,trialloop3.thisTrialN,trialloop3.thisN,trialloop3.thisIndex,span4.thisRepN,span4.thisTrialN,span4.thisN,span4.thisIndex,trialloop4.thisRepN,trialloop4.thisTrialN,trialloop4.thisN,trialloop4.thisIndex,span5.thisRepN,span5.thisTrialN,span5.thisN,span5.thisIndex,trialloop5.thisRepN,trialloop5.thisTrialN,trialloop5.thisN,trialloop5.thisIndex,span6.thisRepN,span6.thisTrialN,span6.thisN,span6.thisIndex,trialloop6.thisRepN,trialloop6.thisTrialN,trialloop6.thisN,trialloop6.thisIndex,thisRow.t,notes,start_sound.started,start_sound.stopped,nback_instruction.started,nback_inst.started,key_resp.started,nback_instruction.stopped,sound_loop.key_resp.keys,sound_loop.key_resp.rt,sound_loop.key_resp.duration,nback.started,nback_stim.started,nback_resp.started,nback_resp.stopped,nback_stim.stopped,nback.stopped,trials_3.nback_resp.keys,trials_3.nback_resp.corr,instructions.started,inst_text.started,key_resp_5.started,instructions.stopped,practice_warning.started,text_6.started,text_6.stopped,practice_warning.stopped,stimulus.started,text.started,key_resp_2.started,stimulus.stopped,trialloop.key_resp_2.keys,trialloop.key_resp_2.corr,trialloop.key_resp_2.rt,trialloop.key_resp_2.duration,ospan_stim.started,text_2.started,ospan_stim.stopped,text_2.stopped,Recall.started,text_3.started,key_resp_3.started,key_resp_4.started,Recall.stopped,trials.key_resp_3.keys,trials.key_resp_3.corr,trials.key_resp_3.rt,trials.key_resp_3.duration,trials.key_resp_4.keys,trials.key_resp_4.rt,trials.key_resp_4.duration,trial_warning.started,text_5.started,text_5.stopped,trial_warning.stopped,trialloop2.key_resp_2.keys,trialloop2.key_resp_2.corr,trialloop2.key_resp_2.rt,trialloop2.key_resp_2.duration,span2.key_resp_3.keys,span2.key_resp_3.corr,span2.key_resp_3.rt,span2.key_resp_3.duration,span2.key_resp_4.keys,span2.key_resp_4.rt,span2.key_resp_4.duration,trialloop3.key_resp_2.keys,trialloop3.key_resp_2.corr,trialloop3.key_resp_2.rt,trialloop3.key_resp_2.duration,span3.key_resp_3.keys,span3.key_resp_3.corr,span3.key_resp_3.rt,span3.key_resp_3.duration,span3.key_resp_4.keys,span3.key_resp_4.rt,span3.key_resp_4.duration,trialloop4.key_resp_2.keys,trialloop4.key_resp_2.corr,trialloop4.key_resp_2.rt,trialloop4.key_resp_2.duration,span4.key_resp_3.keys,span4.key_resp_3.corr,span4.key_resp_3.rt,span4.key_resp_3.duration,span4.key_resp_4.keys,span4.key_resp_4.rt,span4.key_resp_4.duration,trialloop5.key_resp_2.keys,trialloop5.key_resp_2.corr,trialloop5.key_resp_2.rt,trialloop5.key_resp_2.duration,span5.key_resp_3.keys,span5.key_resp_3.corr,span5.key_resp_3.rt,span5.key_resp_3.duration,span5.key_resp_4.keys,span5.key_resp_4.rt,span5.key_resp_4.duration,trialloop6.key_resp_2.keys,trialloop6.key_resp_2.corr,trialloop6.key_resp_2.rt,trialloop6.key_resp_2.duration,span6.key_resp_3.keys,span6.key_resp_3.corr,span6.key_resp_3.rt,span6.key_resp_3.duration,span6.key_resp_4.keys,span6.key_resp_4.rt,span6.key_resp_4.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
10,10,0,A,space,space,1.333297916018637,None,None,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.283949875010876,,,,,,,,,,,27.282001167011913,28.795251959003508,28.795251959003508,29.285826917010127,29.795291417016415,29.78422045899788,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,001,2025-05-10_13h52.27.660,OperationSpanTask,2024.2.4,60,2025-05-10 13h52.30.351451 -0700,
11,11,0,R,space,space,1.333297916018637,None,None,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.795291417016415,,,,,,,,,,,29.78588716700324,31.28667925001355,31.28667925001355,31.78447291700286,32.295301459002076,32.284285625006305,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,001,2025-05-10_13h52.27.660,OperationSpanTask,2024.2.4,60,2025-05-10 13h52.30.351451 -0700,
12,12,0,B,None,space,1.333297916018637,None,None,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.295301459002076,,,,,,,,,,,32.28693316699355,33.79649183401489,33.79649183401489,34.29718358401442,34.79693816701183,34.78223262500251,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,001,2025-05-10_13h52.27.660,OperationSpanTask,2024.2.4,60,2025-05-10 13h52.30.351451 -0700,
13,13,0,N,None,space,1.333297916018637,None,None,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.79693816701183,,,,,,,,,,,34.784849749994464,36.29525104200002,36.29525104200002,36.782162874995265,37.295367959013674,37.28596729200217,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,001,2025-05-10_13h52.27.660,OperationSpanTask,2024.2.4,60,2025-05-10 13h52.30.351451 -0700,
14,14,0,T,None,space,1.333297916018637,None,None,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.295367959013674,,,,,,,,,,,37.288646875007544,38.79673041700153,38.79673041700153,39.29527837500791,39.79556962501374,39.786283541994635,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,001,2025-05-10_13h52.27.660,OperationSpanTask,2024.2.4,60,2025-05-10 13h52.30.351451 -0700,
15,15,0,T,None,space,1.333297916018637,None,None,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.79556962501374,,,,,,,,,,,39.78643525001826,41.29738175001694,41.29738175001694,41.78479133400833,42.29528916699928,42.283924667019164,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,001,2025-05-10_13h52.27.660,OperationSpanTask,2024.2.4,60,2025-05-10 13h52.30.351451 -0700,
16,16,0,N,space,space,1.333297916018637,None,None,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.29528916699928,,,,,,,,,,,42.28533937499742,43.79529083400848,43.79529083400848,44.285441875021206,44.78890737501206,44.78541662500356,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,001,2025-05-10_13h52.27.660,OperationSpanTask,2024.2.4,60,2025-05-10 13h52.30.351451 -0700,
17,17,0,Y,None,space,1.333297916018637,None,None,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.78890737501206,,,,,,,,,,,44.78750916701392,46.29651687500882,46.29651687500882,46.79526158401859,47.295352167013334,47.28467833402101,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,001,2025-05-10_13h52.27.660,OperationSpanTask,2024.2.4,60,2025-05-10 13h52.30.351451 -0700,
18,18,0,S,None,space,1.333297916018637,None,None,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.295352167013334,,,,,,,,,,,47.28763958401396,48.79676658401149,48.79676658401149,49.28556766701513,49.78764329201658,49.7844263750012,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,001,2025-05-10_13h52.27.660,OperationSpanTask,2024.2.4,60,2025-05-10 13h52.30.351451 -0700,
19,19,0,R,None,space,1.333297916018637,None,None,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.78764329201658,,,,,,,,,,,49.78578929201467,51.288034458993934,51.288034458993934,51.78208716699737,52.28331587501452,52.280395334004425,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,001,2025-05-10_13h52.27.660,OperationSpanTask,2024.2.4,60,2025-05-10 13h52.30.351451 -0700,
